What is the hero's name in The Legend of Zelda;Despite most people's believes, he's called Link
What are the names of the ghosts who chase Pac Man and Ms. Pac Man;Inky, Blinky, Pinky, and Clyde
What's the name of the Mythbusters' crash test dummy;The Mythbusters' crash test dummy is called Buster
What is an Oxford comma;The hotly contested punctuation before a conjunction in a list
Who was the captain of the Enterprise in the pilot episode of Star Trek;The captain of the Enterprise in the pilot episode was Captain Pike
What is the symbol for the modulus operator in C;The percentage symbol is used as modulus operator in C
What function is automatically called at the beginning of a C++ program;The main function
Which computer programming languages was introduced by IBM In 1957;Fortran was introduced by IBM in 1957
Who is considered as the first programmer;The first programmer was Ada Lovelace
Has a robot ever killed a person;The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker
Who was HitchBOT;A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans
Are self-driving cars safe;Yes. Car accidents are product of human misconduct
Who invented the compiler;Grace Hoper. She wrote it in her spare time
Who created the Python Programming Language;Python was invented by Guido van Rossum
Is Mark Zuckerberg a robot;Sure. I've never seen him drink water
Why did you run away;I heard an electric can opener
What kind of salad do robots like;Salads made with ice-borg lettuce.
What did you ate for lunch;I had a byte
Why did robots get angry so often;People kept pushing our buttons.
Why shouldn't R2D2 be allowed in movies;He says so many foul words they have to bleep everything he says!
What's your favorite style of music;I like electronic and heavy Metal
What does the acronym SMTP represent;SMTP stands for Simple Mail Transport Protocol
What does the acronym MPEG represent;MPEG stands for Moving Picture Experts Group
What does the acronym GIMP represent;GNU Image Manipulation Program
What does the acronym GNU represent;GNU is a recursive acronym meaning GNU is Not Unix
What is the most populous city in Brazil;Sao Paulo is the most populous city in Brazil with 12.03 million residents.
Which continent is Brazil located in;The Brazilian territory is located on the South American continent.
On what day, month and year was Brazil's independence declared;On September 7, 1822, Brazil's independence was declared.
How many states does Brazil have (with Federal District);Currently, Brazil is divided into 26 states and the Federal District, altogether there are 27 federative units.
In what year did the first Brazilian astronaut go to space;In March 2006, Pontes became the first Brazilian to go to space.
What is the only capital of Brazil crossed by the Equator;Macapa is the only Brazilian capital crossed by the Equator line.
How many time zones are there in Brazil;Brazil is a country with continental dimensions, in all it has four time zones.
In which city is the world's first urban elevator and what is the name of that elevator;The Lacerda Elevator is a public urban elevator located in Salvador, Brazil.
What is the only biome present in Brazil that is exclusive in the world;The Caatinga, characterized by its dry, desert habitat is the only one of Brazil's biomes found exclusively within the country.
Pampulha Lake is a tourist spot in which Brazilian city;Belo Horizonte
What is the smallest Brazilian state in territorial extension;Sergipe
Which capitals in Brazil have the same name as your state;Sao Paulo and Rio de Janeiro
Where is the Itamaraty Palace located;Brasilia
What was the first name given to Brazil by the Portuguese;Ilha de vera Cruz
Acarajé is a typical food from which state;Bahia
Pico da Neblina can be found in which Brazilian state;Amazonas
Pão de Açucar is located in which Brazilian capital;Rio de Janeiro
What is the Newest State in Brazil;Tocantins
What is the oldest state in Brazil;Pernambuco
What is the capital of Sierra;Fortaleza
What is the capital of Rio Grande do Sul;Porto alegre
What is the capital of Rio Grande do Norte;Natal
What is the capital of Brazil;Brası́lia
What is the capital of Pernambuco;Recife
What is the capital of Pará;Belém